source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[microbiome source]	characteristics[sample storage]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
ABF_1	ABF_1	pig gut metagenome	caecum	not applicable	normal	JPST001878	intestine environment	Chon Buri Province	not available	pig cecal microbiome	-80C	antibiotic-free rearing	1	ABF group_1_RC4_01_24000	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 eV	0.6 Da	0.6 Da	1	1	ABF group_1_RC4_01_24000.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	antibiotic-free rearing
ABF_1	ABF_1	pig gut metagenome	caecum	not applicable	normal	JPST001878	intestine environment	Chon Buri Province	not available	pig cecal microbiome	-80C	antibiotic-free rearing	1	ABF group_1_RC4_01_24001	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 eV	0.6 Da	0.6 Da	1	2	ABF group_1_RC4_01_24001.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	antibiotic-free rearing
ABF_1	ABF_1	pig gut metagenome	caecum	not applicable	normal	JPST001878	intestine environment	Chon Buri Province	not available	pig cecal microbiome	-80C	antibiotic-free rearing	1	ABF group_1_RC4_01_24002	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 eV	0.6 Da	0.6 Da	1	3	ABF group_1_RC4_01_24002.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	antibiotic-free rearing
ABF_2	ABF_2	pig gut metagenome	caecum	not applicable	normal	JPST001878	intestine environment	Chon Buri Province	not available	pig cecal microbiome	-80C	antibiotic-free rearing	1	ABF group_2_RC5_01_24003	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 eV	0.6 Da	0.6 Da	1	1	ABF group_2_RC5_01_24003.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	antibiotic-free rearing
ABF_2	ABF_2	pig gut metagenome	caecum	not applicable	normal	JPST001878	intestine environment	Chon Buri Province	not available	pig cecal microbiome	-80C	antibiotic-free rearing	1	ABF group_2_RC5_01_24004	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 eV	0.6 Da	0.6 Da	1	2	ABF group_2_RC5_01_24004.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	antibiotic-free rearing
ABF_2	ABF_2	pig gut metagenome	caecum	not applicable	normal	JPST001878	intestine environment	Chon Buri Province	not available	pig cecal microbiome	-80C	antibiotic-free rearing	1	ABF group_2_RC5_01_24005	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 eV	0.6 Da	0.6 Da	1	3	ABF group_2_RC5_01_24005.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	antibiotic-free rearing
ABF_3	ABF_3	pig gut metagenome	caecum	not applicable	normal	JPST001878	intestine environment	Chon Buri Province	not available	pig cecal microbiome	-80C	antibiotic-free rearing	1	ABF group_3_RC6_01_24006	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 eV	0.6 Da	0.6 Da	1	1	ABF group_3_RC6_01_24006.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	antibiotic-free rearing
ABF_3	ABF_3	pig gut metagenome	caecum	not applicable	normal	JPST001878	intestine environment	Chon Buri Province	not available	pig cecal microbiome	-80C	antibiotic-free rearing	1	ABF group_3_RC6_01_24007	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 eV	0.6 Da	0.6 Da	1	2	ABF group_3_RC6_01_24007.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	antibiotic-free rearing
ABF_3	ABF_3	pig gut metagenome	caecum	not applicable	normal	JPST001878	intestine environment	Chon Buri Province	not available	pig cecal microbiome	-80C	antibiotic-free rearing	1	ABF group_3_RC6_01_24008	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 eV	0.6 Da	0.6 Da	1	3	ABF group_3_RC6_01_24008.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	antibiotic-free rearing
ABF_4	ABF_4	pig gut metagenome	caecum	not applicable	normal	JPST001878	intestine environment	Chon Buri Province	not available	pig cecal microbiome	-80C	antibiotic-free rearing	1	ABF group_4_RC7_01_24010	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 eV	0.6 Da	0.6 Da	1	1	ABF group_4_RC7_01_24010.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	antibiotic-free rearing
