id	deposited_file	classification	n_rows	n_columns	n_raw_expected	row_match	has_source_name	has_assay_name	has_data_file	has_template_declaration	missing_core_columns	action
PXD033891	SDRF.tsv	full	60	20	60	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD043108	SDRF.tsv	full	100	23	100	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD045353	SDRF.txt	full	88	16	76	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD054561	SDRF_Annotation.tsv	full	79	33	79	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD056037	sdrf.txt	full	63	21	63	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD057984	CHO-cell_Bioreactor_SDRF.sdrf	full	135	13	45	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD059419	PXD059419.sdrf.tsv	full	42	28	42	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD060267	2023_50_Y_Zuehlke_SDRF.tsv	full	70	23	71	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD060584	SDRF_CAPA-IVM.sdrf.tsv	full	44	22	51	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD065321	SDRF.sdrf.tsv	full	60	19	60	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD069191	sample_description.sdrf.txt	full	36	23	54	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD071205	PXDAstral_Optimized.sdrf.tsv	full	216	22	82	no	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD046983	PXD046983.sdrf.tsv	legacy-case	44	27	44	yes	yes	yes	yes	no	comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD034438	sdrf.tsv	not-sdrf	457	1	90	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD049016	SDRF_Secretome_Phosphoproteome_THP1_KOPN8_DIA.txt	not-sdrf	98	3	98	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD050202	SDRF.txt	not-sdrf	87	2	87	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD053049	SDRF.txt	not-sdrf	64	10	64	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD054879	PRIDE-SDRF.zip	not-sdrf	369	1	84	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD058915	SDRF_HDF_repregrammed_DCs_DIA.txt	not-sdrf	49	3	49	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD069597	sdrf_.txt	not-sdrf	99	9	99	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
