id	deposited_file	classification	n_rows	n_columns	n_raw_expected	row_match	has_source_name	has_assay_name	has_data_file	has_template_declaration	missing_core_columns	action
PXD022713	SDRF_ND9.tsv	full	12	12	12	yes	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD037997	Onetto-sdrf.txt	full	12	21	12	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD039015	sdrf-whole_cell.tsv	full	11	14	11	yes	yes	yes	yes	no	comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD039580	sdrf-silac_Hela_SILAC_benchmark_DDA.txt	full	18	35	6	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD045388	sdrf.tsv	full	10	32	10	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD048357	sdrf-Mcapitata-gametes.tsv	full	12	14	12	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD055837	PXD055837.sdrf.tsv	full	10	28	10	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD058143	sdrf-euglena-darkness.tsv	full	10	14	10	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD039574	SDRF.tsv	legacy-case	12	23	12	yes	yes	no	yes	no	assay name;comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD068623	sdrf.tsv	partial-technical	6	11	6	yes	no	no	yes	no	source name;characteristics[organism];assay name;technology type;comment[sdrf version]	author the sample section from PRIDE and the publication, then validate
PXD041759	SDRF_Muhovski_et_al_final.docx	not-sdrf	1136	1	6	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD045216	sdrf.docx	not-sdrf	868	1	12	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD047020	sdrf.docx	not-sdrf	768	1	12	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD048381	SDRF.csv	not-sdrf	3	1	3	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD052258	sdrfile.docx	not-sdrf	900	1	11	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD052817	SDRF.txt	not-sdrf	6	9	6	yes	yes	yes	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD058044	SDRF_proteomics_metadata.xlsx	not-sdrf	179	1	10	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD058349	SDRF.tsv	not-sdrf	163	1	11	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066589	SDRF.tsv	not-sdrf	6	7	6	yes	yes	yes	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD069676	SDRFics.txt	not-sdrf	1	1	6	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
