id	deposited_file	classification	n_rows	n_columns	n_raw_expected	row_match	has_source_name	has_assay_name	has_data_file	has_template_declaration	missing_core_columns	action
PXD030129	sdrf.tsv	full	15	20	15	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD038915	sdrf-silac_Hela_IFNg_nascProt_timecourse.txt	full	45	35	15	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD039578	sdrf-silac_Hela_SILAC_benchmark_DIA.txt	full	36	35	12	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD039927	IP-SDRF.tsv	full	15	14	15	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD049174	SDRF.txt	full	15	15	15	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD053491	SDRF.tsv	full	14	20	14	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD056255	2024-09-21-sdrf-2.sdrf.txt	full	12	19	12	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD059240	sdrf.tsv	full	14	21	14	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD061081	sdrf-rat-brain.tsv	full	13	15	13	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD062322	SDRF.txt	full	50	34	14	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD065382	sdrf-cell-line.sdrf.tsv	full	16	22	14	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD065495	PXD024942.sdrf.tsv	full	12	30	12	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD065756	SDRF_PRIDE_Compliant_Soybean_Proteomics.txt	full	12	7	12	yes	yes	yes	yes	no	technology type;comment[instrument];comment[label];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD042251	SDRF_extracellular_DIA.txt	not-sdrf	15	3	15	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD057806	SDRF_file.xlsx	not-sdrf	170	1	12	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD060867	SDRF.xlsx	not-sdrf	197	1	14	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD067868	SDRF.csv	not-sdrf	12	1	12	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD070162	sdrfile.docx	not-sdrf	1352	1	12	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD070583	GS_secretome.sdrf.tsv	not-sdrf	15	12	15	yes	yes	yes	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD077951	sdrf.csv	not-sdrf	12	1	12	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
