id	deposited_file	classification	n_rows	n_columns	n_raw_expected	row_match	has_source_name	has_assay_name	has_data_file	has_template_declaration	missing_core_columns	action
PXD022725	SDRF_ND10.tsv	full	4	12	4	yes	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD032691	sdrf_PXD032691.tsv	full	5	26	5	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD038835	sdrf.tsv	full	4	15	4	yes	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD041036	sdrf.tsv	full	6	16	6	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD049224	sdrf.tsv	full	2	18	2	yes	yes	yes	yes	no	technology type;comment[technical replicate];comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD050316	SDRF.txt	full	5	15	5	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD054113	CETUXIMAB00001.sdrf.tsv	full	5	26	5	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD066627	sdrf-cell-line.sdrf.tsv	full	6	15	6	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD066779	sdrf.csv	full	6	18	6	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD068894	sdrf_complete.tsv	full	12	18	6	no	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD035795	SDRF.txt	legacy-case	6	26	6	yes	yes	yes	yes	no	comment[technical replicate];comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD050008	CS56_210224.sdrf.tsv	legacy-case	4	25	4	yes	yes	yes	yes	no	comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD060055	sdrf-plants_BP.sdrf.tsv	legacy-case	6	15	6	yes	yes	yes	yes	no	comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD069946	sdrf-plants_BP.tsv	legacy-case	2	15	2	yes	yes	yes	yes	no	comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD068623	sdrf.tsv	partial-technical	6	11	6	yes	no	no	yes	no	source name;characteristics[organism];assay name;technology type;comment[sdrf version]	author the sample section from PRIDE and the publication, then validate
PXD041759	SDRF_Muhovski_et_al_final.docx	not-sdrf	1136	1	6	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD048381	SDRF.csv	not-sdrf	3	1	3	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD052817	SDRF.txt	not-sdrf	6	9	6	yes	yes	yes	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066589	SDRF.tsv	not-sdrf	6	7	6	yes	yes	yes	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD069676	SDRFics.txt	not-sdrf	1	1	6	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
