id	deposited_file	classification	n_rows	n_columns	n_raw_expected	row_match	has_source_name	has_assay_name	has_data_file	has_template_declaration	missing_core_columns	action
PXD016336	sdrf.tsv	full	18	19	18	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD029669	sdrf.tsv	full	16	15	16	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD040247	sdrf-pine.tsv	full	16	14	16	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD050553	SDRF_pollen_mito.txt	full	17	16	17	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD051889	sdrf.tsv	full	16	28	16	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD057021	sdrf.txt	full	16	21	16	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD058465	sdrf-cell-line.tsv	full	16	22	16	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD063339	SDRF.tsv	full	12	18	17	no	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD063351	SDRF.tsv	full	10	16	17	no	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD043528	SDRF_PhloemOrangeLemon_StressTriozaErytreae.txt	legacy-case	16	12	16	yes	yes	yes	no	no	characteristics[organism];technology type;comment[data file];comment[fraction identifier];comment[technical replicate];comment[instrument];comment[label];comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD064689	sdrf.tsv	legacy-case	17	12	17	yes	yes	yes	yes	no	technology type;comment[sdrf version]	lowercase headers, map Comment[Raw File] to comment[data file], then validate
PXD062688	sdrf.tsv	partial-technical	18	11	18	yes	no	no	yes	no	source name;characteristics[organism];assay name;technology type;comment[sdrf version]	author the sample section from PRIDE and the publication, then validate
PXD031026	SDRF.xlsx	not-sdrf	155	1	16	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD044432	SDRF.xlsx	not-sdrf	316	1	18	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD045279	SDRF.xlsx	not-sdrf	183	1	16	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD066718	sdrf-500-300SPD.sdrf.xlsx	not-sdrf	500	1	18	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD071585	sdrf.tsv	not-sdrf	16	1	16	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD073612	sdrf-default.sdrf.csv	not-sdrf	18	1	18	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD073641	sdrf-default_VenomProteome-Napat.xlsx	not-sdrf	249	1	18	no	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
PXD073954	HEK_RiboTag_SDRF.tsv	not-sdrf	17	1	17	yes	no	no	no	no		demote to Q1 or Q2; the deposited file is not an SDRF
