source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[clone]	factor value[genotype]
PXD052294-Sample-2	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	6	lumos210709-18_2313-1_e8_6	proteomic profiling by mass spectrometry	lumos210709-18_2313-1_e8_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052294/lumos210709-18_2313-1_e8_6.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	E8	USP10 knockout
PXD052294-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	2	lumos210709-6_2313-1_e5_2	proteomic profiling by mass spectrometry	lumos210709-6_2313-1_e5_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052294/lumos210709-6_2313-1_e5_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	E5	USP10 knockout
PXD052294-Sample-3	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	4	lumos210709-24_2313-1_scr_4	proteomic profiling by mass spectrometry	lumos210709-24_2313-1_scr_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052294/lumos210709-24_2313-1_scr_4.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	SCR	scramble control
PXD052294-Sample-3	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	3	lumos210709-23_2313-1_scr_3	proteomic profiling by mass spectrometry	lumos210709-23_2313-1_scr_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052294/lumos210709-23_2313-1_scr_3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	SCR	scramble control
PXD052294-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	6	lumos210709-10_2313-1_e5_6	proteomic profiling by mass spectrometry	lumos210709-10_2313-1_e5_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052294/lumos210709-10_2313-1_e5_6.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	E5	USP10 knockout
PXD052294-Sample-2	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	2	lumos210709-14_2313-1_e8_2	proteomic profiling by mass spectrometry	lumos210709-14_2313-1_e8_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052294/lumos210709-14_2313-1_e8_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	E8	USP10 knockout
PXD052294-Sample-3	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	2	lumos210709-22_2313-1_scr_2	proteomic profiling by mass spectrometry	lumos210709-22_2313-1_scr_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052294/lumos210709-22_2313-1_scr_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	SCR	scramble control
PXD052294-Sample-2	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	3	lumos210709-15_2313-1_e8_3	proteomic profiling by mass spectrometry	lumos210709-15_2313-1_e8_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052294/lumos210709-15_2313-1_e8_3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	E8	USP10 knockout
PXD052294-Sample-3	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	lumos210709-21_2313-1_scr_1	proteomic profiling by mass spectrometry	lumos210709-21_2313-1_scr_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052294/lumos210709-21_2313-1_scr_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	SCR	scramble control
PXD052294-Sample-3	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	5	lumos210709-25_2313-1_scr_5	proteomic profiling by mass spectrometry	lumos210709-25_2313-1_scr_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD052294/lumos210709-25_2313-1_scr_5.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	SDS-PAGE	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	SCR	scramble control
